Name,Transliteration,Meaning,Gender,Language
Clara,,"Bright, clear",Female,Afrikaans
Cora,,"Maiden, heart",Female,Afrikaans
Daphne,,Laurel tree,Female,Afrikaans
Delia,,From Delos,Female,Afrikaans
Diana,,Divine,Female,Afrikaans
Elda,,"Old, wise",Female,Afrikaans
Elina,,"Light, shining",Female,Afrikaans
Elsa,,"Noble, kind",Female,Afrikaans
Emelia,,Rival,Female,Afrikaans
Emma,,"Whole, universal",Female,Afrikaans
Erica,,"Ruler, leader",Female,Afrikaans
Esme,,"Esteemed, loved",Female,Afrikaans
Eva,,Life,Female,Afrikaans
Fabiola,,Bean grower,Female,Afrikaans
Felicia,,"Happy, fortunate",Female,Afrikaans
Flora,,Flower,Female,Afrikaans
Francesca,,Free one,Female,Afrikaans
Gabriella,,God is my strength,Female,Afrikaans
Gemma,,Jewel,Female,Afrikaans
Genevieve,,Woman of the people,Female,Afrikaans
Georgia,,"Farmer, earthworker",Female,Afrikaans
Giselle,,"Pledge, hostage",Female,Afrikaans
Greta,,Pearl,Female,Afrikaans
Helena,,Shining light,Female,Afrikaans
Iris,,"Rainbow, flower",Female,Afrikaans
Isabelle,,Devoted to God,Female,Afrikaans
Ivy,,Faithfulness,Female,Afrikaans
Jasmine,,Flower name,Female,Afrikaans
Jessica,,"Wealthy, God beholds",Female,Afrikaans
Johanna,,God is gracious,Female,Afrikaans
Julia,,Youthful,Female,Afrikaans
Karin,,"Pure, chaste",Female,Afrikaans
Karla,,Free woman,Female,Afrikaans
Laura,,Laurel,Female,Afrikaans
Leila,,Night,Female,Afrikaans
Lena,,"Light, torch",Female,Afrikaans
Liana,,"Delicate, soft",Female,Afrikaans
Linda,,"Pretty, clean",Female,Afrikaans
Lisa,,Consecrated to God,Female,Afrikaans
Louisa,,Renowned warrior,Female,Afrikaans
Lucia,,Light,Female,Afrikaans
Lydia,,Woman from Lydia,Female,Afrikaans
Mabel,,Lovable,Female,Afrikaans
Madeline,,High tower,Female,Afrikaans
Mae,,Pearl,Female,Afrikaans
Maria,,Of the sea,Female,Afrikaans
Marion,,Of the sea,Female,Afrikaans
Marta,,Lady,Female,Afrikaans
Mary,,"Bitter, beloved",Female,Afrikaans
Melissa,,Honeybee,Female,Afrikaans
Mia,,Mine,Female,Afrikaans
Michelle,,Who is like God?,Female,Afrikaans
Mila,,"Gracious, dear",Female,Afrikaans
Monica,,"Advisor, lone",Female,Afrikaans
Nadia,,Hope,Female,Afrikaans
Natalia,,Born on Christmas Day,Female,Afrikaans
Nicole,,Victorious,Female,Afrikaans
Nora,,Honor,Female,Afrikaans
Olivia,,Olive tree,Female,Afrikaans
Pamela,,All sweetness,Female,Afrikaans
Patricia,,"Noble, noblewoman",Female,Afrikaans
Paula,,"Small, humble",Female,Afrikaans
Phoebe,,"Bright, shining",Female,Afrikaans
Rachel,,"Ewe, lamb",Female,Afrikaans
Rebecca,,"To bind, tie",Female,Afrikaans
Rita,,Pearl,Female,Afrikaans
Rose,,Rose,Female,Afrikaans
Ruby,,Precious stone,Female,Afrikaans
Sabrina,,Legendary princess,Female,Afrikaans
Sandra,,Defender of mankind,Female,Afrikaans
Sara,,"Princess, noblewoman",Female,Afrikaans
Selma,,"Safe, secure",Female,Afrikaans
Serena,,"Serene, calm",Female,Afrikaans
Sophie,,Wisdom,Female,Afrikaans
Stella,,Star,Female,Afrikaans
Susan,,Lily,Female,Afrikaans
Sylvia,,Forest,Female,Afrikaans
Tamara,,Date palm,Female,Afrikaans
Tanya,,"Fairy, queen",Female,Afrikaans
Teresa,,"Harvester, summer",Female,Afrikaans
Tiffany,,Manifestation of God,Female,Afrikaans
Valeria,,"Strength, health",Female,Afrikaans
Vanessa,,Butterfly,Female,Afrikaans
Vera,,Truth,Female,Afrikaans
Veronica,,True image,Female,Afrikaans
Victoria,,Victory,Female,Afrikaans
Violet,,Purple flower,Female,Afrikaans
Virginia,,Maiden,Female,Afrikaans
Yvonne,,Yew tree,Female,Afrikaans
Zara,,"Princess, flower",Female,Afrikaans
Abigail,,Father's joy,Female,Afrikaans
Adele,,"Noble, serene",Female,Afrikaans
Adriana,,From Adriatic Sea,Female,Afrikaans
Aimee,,Beloved,Female,Afrikaans
Alma,,Soul,Female,Afrikaans
Annette,,"Graceful, merciful",Female,Afrikaans
April,,Opening buds,Female,Afrikaans
Ariel,,Lioness of God,Female,Afrikaans
Astrid,,Divine strength,Female,Afrikaans
Belle,,Beautiful,Female,Afrikaans
Benita,,Blessed,Female,Afrikaans
Bernice,,Bringer of victory,Female,Afrikaans
Bonnie,,"Good, attractive",Female,Afrikaans
Calista,,Most beautiful,Female,Afrikaans
Caroline,,Free woman,Female,Afrikaans
Charity,,"Love, kindness",Female,Afrikaans
Chloe,,"Blooming, fertility",Female,Afrikaans
Clara,,"Bright, clear",Female,Afrikaans
Clementine,,"Gentle, mild",Female,Afrikaans
Colette,,Victorious,Female,Afrikaans
Delilah,,"Delicate, weak",Female,Afrikaans
Desirée,,Desired,Female,Afrikaans
Agron,,Warrior,Male,Albanian
Arben,,From the Arber region,Male,Albanian
Besnik,,"Loyal, faithful",Male,Albanian
Dritan,,Light,Male,Albanian
Edon,,He loves,Male,Albanian
Fatos,,Brave,Male,Albanian
Genti,,"Gentleman, noble",Male,Albanian
Ilir,,"Free, liberty",Male,Albanian
Luan,,Lion,Male,Albanian
Mentor,,Wise advisor,Male,Albanian
Nderim,,Honor,Male,Albanian
Pajtim,,"Peace, reconciliation",Male,Albanian
Shpend,,Bird,Male,Albanian
Valon,,Wave,Male,Albanian
Ylli,,Star,Male,Albanian
Ardian,,From the ancient tribe Ardian,Male,Albanian
Blendi,,The blend of something good,Male,Albanian
Drilon,,Where the river flows,Male,Albanian
Flamur,,Flag,Male,Albanian
Genc,,Young,Male,Albanian
Kujtim,,"Memory, remembrance",Male,Albanian
Lirim,,Freedom,Male,Albanian
Miron,,Good,Male,Albanian
Petrit,,Strong as a rock,Male,Albanian
Rilind,,"Rebirth, revival",Male,Albanian
Sazan,,"Wealth, treasure",Male,Albanian
Valmir,,"Brave, wave",Male,Albanian
Adnan,,Paradise,Male,Albanian
Berat,,"White, bright",Male,Albanian
Dardan,,From the ancient tribe Dardan,Male,Albanian
Ergys,,From the ancient city Argos,Male,Albanian
Flamur,,Flag,Male,Albanian
Gentian,,From the Gentiana plant,Male,Albanian
Klodian,,From the ancient city Klodiana,Male,Albanian
Leka,,"Alexander, defender of men",Male,Albanian
Mergim,,Exile,Male,Albanian
Orhan,,Great leader,Male,Albanian
Redon,,"Ruler, king",Male,Albanian
Saimir,,The best,Male,Albanian
Trimor,,Brave,Male,Albanian
Valdrin,,Brave wave,Male,Albanian
Ardit,,Golden day,Male,Albanian
Besart,,Golden oath,Male,Albanian
Dorian,,Of the Dorian people,Male,Albanian
Edmir,,"Noble, good",Male,Albanian
Fitim,,Victory,Male,Albanian
Gazmend,,"Joy, happiness",Male,Albanian
Ilirjan,,"Free, of Illyria",Male,Albanian
Lavdim,,Glory,Male,Albanian
Lulzim,,"Blooming, flourishing",Male,Albanian
Mentor,,"Guide, teacher",Male,Albanian
Nikoll,,Victory of the people,Male,Albanian
Pranver,,Spring,Male,Albanian
Rezart,,Golden ray,Male,Albanian
Shkelzen,,Bright light,Male,Albanian
Valdet,,Big wave,Male,Albanian
Ymer,,"Life, vitality",Male,Albanian
Arsim,,Education,Male,Albanian
Bardhyl,,White star,Male,Albanian
Dritan,,Light,Male,Albanian
Ervin,,"Fresh, spring-like",Male,Albanian
Flamur,,Flag,Male,Albanian
Gentian,,From the Gentiana flower,Male,Albanian
Ilir,,"Free, of Illyria",Male,Albanian
Kushtrim,,Call to arms,Male,Albanian
Luan,,Lion,Male,Albanian
Rron,,Alive,Male,Albanian
Shpend,,Bird,Male,Albanian
Valmir,,Brave wave,Male,Albanian
Albano,,Albanian,Male,Albanian
Bujar,,Generous,Male,Albanian
Dardan,,From the ancient tribe Dardan,Male,Albanian
Edi,,Guardian of prosperity,Male,Albanian
Flamur,,Flag,Male,Albanian
Gentjan,,From the Gentian flower,Male,Albanian
Ilirjan,,"Free, of Illyria",Male,Albanian
Kujtim,,Memory,Male,Albanian
Ledian,,Star of knowledge,Male,Albanian
Mirlind,,Well-born,Male,Albanian
Orik,,"Golden, valuable",Male,Albanian
Redon,,"Ruler, king",Male,Albanian
Skender,,Alexander,Male,Albanian
Valter,,Strong as a ruler,Male,Albanian
Arbenor,,From Arber,Male,Albanian
Blerton,,The fertile one,Male,Albanian
Drilon,,Where the river flows,Male,Albanian
Emir,,Prince,Male,Albanian
Fidan,,"Sapling, young tree",Male,Albanian
Gazmir,,Joyful,Male,Albanian
Ilirjan,,"Free, of Illyria",Male,Albanian
Labinot,,From the Lab river,Male,Albanian
Liridon,,Freedom-loving,Male,Albanian
Miron,,Good,Male,Albanian
Rilind,,Rebirth,Male,Albanian
Shpetim,,"Rescue, salvation",Male,Albanian
Valmir,,Brave wave,Male,Albanian
Admir,,Admirable,Male,Albanian
Bardhi,,White,Male,Albanian
Dorian,,Of the Dorian people,Male,Albanian
Erion,,Our wind,Male,Albanian
Flamur,,Flag,Male,Albanian
Gentjan,,From the Gentian flower,Male,Albanian
Ilirjan,,"Free, of Illyria",Male,Albanian
Kushtrim,,Call to arms,Male,Albanian
Lulzim,,Blooming,Male,Albanian
Mentor,,"Guide, teacher",Male,Albanian
Pranver,,Spring,Male,Albanian
Sazan,,Treasure,Male,Albanian
Trimor,,Brave,Male,Albanian
Valmir,,Brave wave,Male,Albanian
Albin,,From Albania,Male,Albanian
Bekim,,Blessing,Male,Albanian
Driton,,Light,Male,Albanian
Eriol,,Golden eagle,Male,Albanian
Flamur,,Flag,Male,Albanian
Genti,,Noble,Male,Albanian
Ilirjan,,"Free, of Illyria",Male,Albanian
Kujtim,,Memory,Male,Albanian
Ledion,,Star of knowledge,Male,Albanian
Mirlind,,Well-born,Male,Albanian
Orik,,Golden,Male,Albanian
Skender,,Alexander,Male,Albanian
Valter,,Strong as a ruler,Male,Albanian
Arbion,,From Albania,Male,Albanian
Blerim,,"Greenery, bloom",Male,Albanian
Dorian,,Of the Dorian people,Male,Albanian
Emir,,Prince,Male,Albanian
Fidan,,Sapling,Male,Albanian
Gazmir,,Joyful,Male,Albanian
Ilirjan,,"Free, of Illyria",Male,Albanian
Labinot,,From the Lab river,Male,Albanian
Liridon,,Freedom-loving,Male,Albanian
Miron,,Good,Male,Albanian
Rilind,,Rebirth,Male,Albanian
Shpetim,,Rescue,Male,Albanian
Adela,,Noble,Female,Albanian
Albana,,From Albania,Female,Albanian
Ardita,,Golden day,Female,Albanian
Besjana,,"Faithful, promise",Female,Albanian
Drita,,Light,Female,Albanian
Elira,,Free,Female,Albanian
Fatmira,,"Lucky, fortunate",Female,Albanian
Gerta,,Warrior,Female,Albanian
Ilira,,"Free, of Illyria",Female,Albanian
Jeta,,Life,Female,Albanian
Klea,,Glory,Female,Albanian
Lindita,,The day is born,Female,Albanian
Mira,,Good,Female,Albanian
Pranvera,,Spring,Female,Albanian
Shqipe,,Eagle,Female,Albanian
Valbona,,From the Valbona river,Female,Albanian
Yllka,,Little star,Female,Albanian
Aida,,Joyful,Female,Albanian
Blerta,,"Green, bloom",Female,Albanian
Dorina,,Of the Dorian people,Female,Albanian
Eriona,,From the wind,Female,Albanian
Flutura,,Butterfly,Female,Albanian
Gentiana,,From the Gentiana flower,Female,Albanian
Ilira,,"Free, of Illyria",Female,Albanian
Kaltrina,,Blue,Female,Albanian
Lule,,Flower,Female,Albanian
Mimoza,,Mimosa flower,Female,Albanian
Orjola,,Golden dawn,Female,Albanian
Rea,,Flow,Female,Albanian
Shpresa,,Hope,Female,Albanian
Valbona,,From the Valbona river,Female,Albanian
Adelina,,Noble,Female,Albanian
Albiona,,From Albania,Female,Albanian
Ardiana,,From the Ardian tribe,Female,Albanian
Besa,,"Faith, promise",Female,Albanian
Dritana,,Light,Female,Albanian
Elida,,Small winged one,Female,Albanian
Fatbardha,,Happy and white,Female,Albanian
Gerta,,Warrior,Female,Albanian
Ilirjana,,"Free, of Illyria",Female,Albanian
Jetmira,,Good life,Female,Albanian
Kleopatra,,Glory of the father,Female,Albanian
Lindona,,The day is born,Female,Albanian
Mirjeta,,Good life,Female,Albanian
Pranvera,,Spring,Female,Albanian
Shkurta,,"Short, brief",Female,Albanian
Valentina,,"Healthy, strong",Female,Albanian
Ylloreta,,Starry,Female,Albanian
Aida,,Joyful,Female,Albanian
Bleona,,Blooming,Female,Albanian
Dorina,,Of the Dorian people,Female,Albanian
Erina,,Peace,Female,Albanian
Flutura,,Butterfly,Female,Albanian
Gentiana,,From the Gentiana flower,Female,Albanian
Ilda,,Heroine,Female,Albanian
Kaltrina,,Blue,Female,Albanian
Luljeta,,Flower of life,Female,Albanian
Mimoza,,Mimosa flower,Female,Albanian
Orjana,,Golden dawn,Female,Albanian
Rea,,Flow,Female,Albanian
Shpresa,,Hope,Female,Albanian
Vjollca,,Violet,Female,Albanian
Afërdita,,Near to the day,Female,Albanian
Arbana,,From Albania,Female,Albanian
Arlinda,,Golden snake,Female,Albanian
Bora,,Snow,Female,Albanian
Diellza,,Sunlight,Female,Albanian
Elona,,Our life,Female,Albanian
Fjolla,,Snowflake,Female,Albanian
Greta,,Pearl,Female,Albanian
Ina,,Pure,Female,Albanian
Kaltrina,,Blue,Female,Albanian
Lejla,,"Night, dark beauty",Female,Albanian
Monika,,Advisor,Female,Albanian
Orjola,,Golden dawn,Female,Albanian
Rina,,Queen,Female,Albanian
Shpresa,,Hope,Female,Albanian
Valmira,,Good wave,Female,Albanian
Zana,,Fairy,Female,Albanian
Albina,,"White, bright",Female,Albanian
Anita,,Grace,Female,Albanian
Arjeta,,Golden life,Female,Albanian
Blerta,,"Green, bloom",Female,Albanian
Diona,,Divine,Female,Albanian
Elira,,Free,Female,Albanian
Flaka,,Flame,Female,Albanian
Griselda,,Gray battle maid,Female,Albanian
Irena,,Peace,Female,Albanian
Klea,,Glory,Female,Albanian
Ledia,,Happiness,Female,Albanian
Lorena,,Laurel,Female,Albanian
Matilda,,Mighty in battle,Female,Albanian
Orjana,,Golden dawn,Female,Albanian
Rina,,Queen,Female,Albanian
Teuta,,Queen of the Illyrians,Female,Albanian
Abdullah,,Servant of God,Male,Arabic
Ahmad,,Most commendable,Male,Arabic
Ali,,"Exalted, noble",Male,Arabic
Amjad,,More glorious,Male,Arabic
Asim,,Protector,Male,Arabic
Basim,,Smiling,Male,Arabic
Bilal,,Moistening,Male,Arabic
Fadil,,Virtuous,Male,Arabic
Faisal,,"Decisive, arbitrator",Male,Arabic
Farid,,"Unique, precious",Male,Arabic
Hamza,,"Lion, strong",Male,Arabic
Hassan,,"Handsome, good",Male,Arabic
Ibrahim,,Father of nations,Male,Arabic
Idris,,Interpreter,Male,Arabic
Imran,,Prosperity,Male,Arabic
Ismail,,God will hear,Male,Arabic
Jafar,,Stream,Male,Arabic
Jamal,,Beauty,Male,Arabic
Karim,,"Generous, noble",Male,Arabic
Khalid,,"Eternal, immortal",Male,Arabic
Latif,,"Gentle, kind",Male,Arabic
Luqman,,Wise,Male,Arabic
Mahmud,,"Praised, commendable",Male,Arabic
Malik,,"King, owner",Male,Arabic
Mansur,,Victorious,Male,Arabic
Marwan,,Solid stone,Male,Arabic
Mustafa,,The chosen one,Male,Arabic
Nabil,,Noble,Male,Arabic
Nadim,,Companion,Male,Arabic
Nasir,,"Helper, supporter",Male,Arabic
Omar,,"Flourishing, long-lived",Male,Arabic
Qasim,,"Divider, distributor",Male,Arabic
Rafi,,"Elevated, sublime",Male,Arabic
Rami,,Archer,Male,Arabic
Rashid,,Rightly guided,Male,Arabic
Saad,,Happiness,Male,Arabic
Samir,,Entertaining companion,Male,Arabic
Tariq,,"Morning star, path",Male,Arabic
Usman,,Baby bustard (bird),Male,Arabic
Waleed,,"Newborn, boy",Male,Arabic
Yahya,,God will live,Male,Arabic
Zaid,,"Growth, abundance",Male,Arabic
Abdulaziz,,Servant of the Almighty,Male,Arabic
Adil,,"Just, fair",Male,Arabic
Afzal,,Most excellent,Male,Arabic
Ayman,,"Blessed, lucky",Male,Arabic
Badr,,Full moon,Male,Arabic
Bassem,,One who smiles,Male,Arabic
Dawood,,Beloved,Male,Arabic
Ehsan,,"Perfection, excellence",Male,Arabic
Faiz,,Successful,Male,Arabic
Firas,,"Perspicacious, intelligent",Male,Arabic
Ghassan,,Youthful,Male,Arabic
Harith,,Plowman,Male,Arabic
Hasan,,"Good, beautiful",Male,Arabic
Hussain,,"Good, handsome",Male,Arabic
Ilyas,,"Elijah, the prophet",Male,Arabic
Jibril,,Archangel Gabriel,Male,Arabic
Kareem,,"Generous, noble",Male,Arabic
Khaleel,,"Friend, confidant",Male,Arabic
Latif,,"Kind, gentle",Male,Arabic
Mahir,,Skilled,Male,Arabic
Marwan,,Solid stone,Male,Arabic
Mohsin,,Benefactor,Male,Arabic
Nadeem,,"Friend, companion",Male,Arabic
Naim,,"Comfort, ease",Male,Arabic
Qadir,,"Powerful, capable",Male,Arabic
Rahim,,Merciful,Male,Arabic
Rakan,,"Dignity, composure",Male,Arabic
Salman,,"Safe, healthy",Male,Arabic
Siraj,,"Light, lamp",Male,Arabic
Talal,,"Admirable, admirable",Male,Arabic
Usman,,Baby bustard (bird),Male,Arabic
Wael,,Rescuer,Male,Arabic
Yahya,,God will live,Male,Arabic
Ziyad,,"Abundance, growth",Male,Arabic
Abdulqadir,,Servant of the powerful,Male,Arabic
Adnan,,"Settler, name of ancestor",Male,Arabic
Amin,,"Trustworthy, faithful",Male,Arabic
Anwar,,Luminous,Male,Arabic
Bassam,,Smiling,Male,Arabic
Dani,,"Close, near",Male,Arabic
Faris,,"Knight, horseman",Male,Arabic
Fawaz,,"Successful, winner",Male,Arabic
Ghaith,,"Rain, clouds",Male,Arabic
Hakeem,,Wise,Male,Arabic
Hamdan,,"Praised, thankful",Male,Arabic
Haitham,,Young eagle,Male,Arabic
Ibrahim,,Father of nations,Male,Arabic
Ihsan,,Benevolence,Male,Arabic
Ismail,,God will hear,Male,Arabic
Jameel,,Beautiful,Male,Arabic
Khalil,,"Friend, confidant",Male,Arabic
Luqman,,Wise,Male,Arabic
Mansour,,Victorious,Male,Arabic
Mazin,,Rain clouds,Male,Arabic
Muammar,,"Prosperous, long-lived",Male,Arabic
Nadeem,,Companion,Male,Arabic
Naji,,"Safe, survivor",Male,Arabic
Qasim,,"Divider, distributor",Male,Arabic
Raed,,"Leader, pioneer",Male,Arabic
Rafiq,,"Kind, gentle",Male,Arabic
Sabir,,Patient,Male,Arabic
Saeed,,"Happy, fortunate",Male,Arabic
Shahid,,"Witness, martyr",Male,Arabic
Tarek,,"Morning star, path",Male,Arabic
Usama,,Lion,Male,Arabic
Wajid,,"Finder, discoverer",Male,Arabic
Yasir,,"Easy, wealthy",Male,Arabic
Zakir,,"Remembering, grateful",Male,Arabic
Abdullah,,Servant of God,Male,Arabic
Adeeb,,"Literary, cultured",Male,Arabic
Akram,,Most generous,Male,Arabic
Amr,,"Life, prosperous",Male,Arabic
Asad,,Lion,Male,Arabic
Basheer,,Bringer of good news,Male,Arabic
Dhiya,,"Light, radiance",Male,Arabic
Ehab,,Gift,Male,Arabic
Faisal,,"Decisive, arbitrator",Male,Arabic
Fawaz,,"Successful, victorious",Male,Arabic
Ghazi,,"Conqueror, warrior",Male,Arabic
Hafiz,,"Guardian, protector",Male,Arabic
Hamid,,"Praised, commendable",Male,Arabic
Hatim,,"Judge, arbitrator",Male,Arabic
Idris,,Interpreter,Male,Arabic
Imad,,"Support, pillar",Male,Arabic
Iskander,,Defender of mankind,Male,Arabic
Jawad,,Generous,Male,Arabic
Khalid,,"Eternal, immortal",Male,Arabic
Lutfi,,"Gentle, kind",Male,Arabic
Mahdi,,Rightly guided,Male,Arabic
Manaf,,"Elevated, exalted",Male,Arabic
Mujahid,,"Striver, fighter",Male,Arabic
Najeeb,,"Noble, distinguished",Male,Arabic
Nasr,,"Victory, support",Male,Arabic
Qays,,Firm,Male,Arabic
Rahman,,"Merciful, compassionate",Male,Arabic
Rashad,,Rightly guided,Male,Arabic
Sami,,"High, elevated",Male,Arabic
Talib,,"Seeker, student",Male,Arabic
Umair,,"Life, long-lived",Male,Arabic
Waleed,,"Newborn, boy",Male,Arabic
Yasin,,A title of the Prophet,Male,Arabic
Zubair,,"Strong, powerful",Male,Arabic
Aaliyah,,"Exalted, noble",Female,Arabic
Aisha,,"Alive, living",Female,Arabic
Amira,,"Princess, leader",Female,Arabic
Basma,,Smile,Female,Arabic
Dalia,,"Branch, grapevine",Female,Arabic
Dina,,"Religion, faith",Female,Arabic
Eman,,"Faith, belief",Female,Arabic
Farah,,"Joy, happiness",Female,Arabic
Fatima,,"Captivating, one who abstains",Female,Arabic
Ghada,,"Graceful, young woman",Female,Arabic
Hala,,"Halo, aura",Female,Arabic
