question,choice
Have you ever given a fake number?,Truth
"If you could talk to a fortune teller, what would you ask them?",Truth
Have you ever started a rumor about someone? What was it?,Truth
What’s the weirdest thing you do while driving?,Truth
What’s the weirdest thing you have in your bedroom?,Truth
Who are you jealous of?,Truth
Take a funny selfie and send it immediately without checking,Dare
Have you ever ditched someone before?,Truth
Have you ever intentionally sabotaged someone?,Truth
Have you ever said “I love you” to someone and not meant it?,Truth
Is there an ex with whom you’d consider reconciling?,Truth
"Personality-wise, are you more like your mom or your dad?",Truth 
What are you most proud of in your life?,Truth 
What was your first heartbreak?,Truth
What’s the biggest mistake you’ve ever made?,Truth
What’s the worst thing anyone’s ever done to you?,Truth
What was the best compliment you’ve ever received?,Truth
What’s something you’re glad your mom doesn’t know about you?,Truth
What’s your favorite possession?,Truth 
Would you marry someone rich even if you weren’t in love with them?,Truth
Give the person to your right a foot massage (with their consent).,Dare
Sing like an opera singer instead of speaking for the next five minutes.,Dare
Wear another player’s socks like gloves for the next five minutes.,Dare
"Let the group mix together five of whatever liquids they find in the fridge, then drink it.",Dare
Lick a bar of soap.,Dare
Empty a glass of cold water onto your head outside.,Dare
,
Let another player create a hat out of toilet paper — and you have to wear it for the rest of the game.,Dare
Bite into a raw onion without slicing it.,Dare
Name a famous person that looks like each player in the room.,Dare
Put your forehead on the end of a bat and spin around it ten times as fast as you can and then walk in a straight line.,Dare
Eat an orange without peeling it.,Dare
Spend the rest of the game talking without letting your lips touch each other.,Dare
Let the group give you a wedgie.,Dare
Have you ever popped a zit in public?,Truth
What parts of your body do you shave?,Truth
Wear your shirt inside out for the rest of the day.,Dare
Have you ever accidentally walked in on your parents naked?,Truth
Send a text message to your boss only using your tongue.,Dare
Smear peanut butter on your face and let the dog lick it off.,Dare
What’s something you love to do with your friends that you’d never do in front of your partner?,Truth
Name one crime you’d commit if you knew you could never get arrested?,Truth
Do you like children?,Truth
Who’s the one person you regret dating?,Truth
Name one dirty habit you have.,Truth
Call out your best friend’s phone number.,Dare
How many times do you wear your underwear before washing it?,Truth 
Have you ever considered cheating on a partner?,Truth
Did you ever crush on a teacher?,Truth
What app do you waste the most time on?,Truth
What’s the weirdest thing you’ve done in someone’s house?,Truth
Do you watch porn?,Truth 
Have you ever lied about your age?,Truth
"If you had to delete one app from your phone, which one would it be?",Truth 
Have you ever had a carryover?,Truth
Which of your parents annoys you the most and why?,Truth
Which Nollywood actor do you think is overrated?,Truth
What TV show would you love to see cancelled?,Truth
Name a colleague you want to sleep with.,Dare
Have you ever had sex during work hours?,Truth
Who would you love to see naked?,Truth
What’s one job you could never do?,Truth 
What’s the most scandalous photo in your cloud?,Truth 
When’s the last time you got heartbroken?,Truth
Have you ever broken someone’s heart? Tell us about it.,Truth
Pick someone in the room and tell them five things you hate about them.,Dare
Pick someone in the room and tell them five things you love about them.,Dare
What’s one thing in your life you wish you could change?,Truth 
What’s the most useless talent you have?,Truth
Have you ever sent your nudes to the wrong person? Tell the room about it.,Truth 
Have you ever had a one-night stand? Gist us.,Truth
Has anyone ever walked in on you having sex?,Truth
Who is the best kisser you’ve ever had?,Truth
What’s the riskiest thing you’ve ever done?,Truth 
Smell every other players’ armpits.,Dare
Twerk for 1 minute.,Dare
Give a lap dance to the person next to you.,Dare
"Call a friend, pretend you are stranded by the roadside and make them try to come pick you. If they are convinced, you win.",Dare
Perform a strip tease for 1 minute.,Dare
Take a selfie on the toilet and post it.,Dare
"Call a friend, tell them you just slept with their partner and ask them to forgive you. If they are convinced, you win.",Dare
How would you rate your looks on a scale of 1 to 10?,Truth 
Are you a morning or night person?,Truth
Do you prefer staying in or going out?,Truth
What’s the #1 thing on your bucket list?,Truth 
What’s the best compliment you’ve ever received?,Truth
What’s your go-to insult?,Truth 
Have you ever used someone else’s toothbrush?,Truth
What’s an embarrassing movie you secretly love?,Truth 
Who do you think has the nicest butt?,Truth
Who’s the most attractive person in our friend group?,Truth
What’s your biggest red flag in a relationship?,Truth 
What’s the first thing you noticed about me?,Truth 
What’s something that reminds you of me?,Truth 
Would you rather be bald or have no eyebrows?,Truth 
Would you rather always shout or always whisper?,Truth 
Would you rather wear Crocs or Big Red Boots?,Truth 
Would you rather be allergic to sunlight or your own sweat?,Truth 
Would you rather switch bodies with your ex or your grandma?,Truth 
Would you rather fart every time you laugh or burp every time you cry?,Truth 
"If you were a mad scientist, what would you invent?",Truth 
"If you could have any superpower, what would it be?",Truth 
"If you could stop time for a year, what would you do?",Truth 
"If you could change your name, what would you pick?",Truth 
"If you could time travel, which decade are you going to?",Truth 
Who are you going to ask to prom?,Truth 
What song puts you in the mood?,Truth 
"Would you rather be considered pretty, smart, or funny?",Truth 
"If your life was a book, what’s the title of the chapter you’re in right now?",Truth 
Laugh like an evil villain.,Dare
Roast the person to your right.,Dare
Act like a mime for the next 10 minutes.,Dare
Read your last email in your most seductive voice.,Dare
Share your search history.,Dare
Remove an item of clothing.,Dare
Give me your best sexy crawl.,Dare
Sit on my lap for the rest of the game.,Dare
Text me your dirtiest joke.,Dare
Put your hand where I tell you and pretend it’s glued there for 5 minutes.,Dare
What song's words did you totally mess up but you thought were correct?,Truth
Let the group cover your face in whip cream.,Dare
What's your bad breath story?,Truth
Do you still sleep with a nightlight?,Truth
What did you think at the time was cool but now you regret?,Truth
Do a handstand and drink a glass of water.,Dare
What practical joke did you totally fall for?,Truth 
Have you ever made out in an elevator?,Truth
Have you ever drawn on someone when they were asleep?,Truth
Have you ever been mean to one of your teachers?,Truth
Announce to the group your last 10 searches.,Dare
What's your most embarrassing toilet story?,Truth
Give everyone in the group a 5-minute foot massage.,Dare
What was the last thing you did to get grounded?,Truth
Do 10 yoga poses of the group's choosing.,Dare
Have you ever stolen money from your parents?,Truth 
Keep calling random phone numbers until you can keep someone on the phone for 5+ minutes.,Dare
What's the most disgusting food you've ever eaten?,Truth
Text the person you have a crush on and tell them.,Dare
Eat a spoonful of mayonnaise,Dare
Have you ever worn the same underwear for more than one day?,Truth
"When is the last time you tried to silently fart, but it ended up being loud?",Truth 
Have you ever tried marijuana?,Truth
Have you ever walked into something while on the phone?,Truth
What got you into the most trouble at home?,Truth
Chew gum with the gum wrapper still on it.,Dare
What's the last big mistake you made in front of others?,Truth 
Try to lick your elbow.,Dare
Impersonate your favorite animal.,Dare
I dare you to order a pizza for the group.,Dare
Give the person to your left a “wet willy.”,Dare
Write a love letter in 10 words or less.,Dare
Imitate your favorite emoji.,Dare
Sing the most romantic song you know.,Dare
Express your love with sign language.,Dare
Describe your perfect date night.,Dare
Describe your ideal romantic partner.,Dare
Give me a romantic nickname.,Dare
Call a random number and pretend to be a different personality.,Dare
Attempt to breakdance.,Dare
Talk like a robot.,Dare
Hold your nose while talking for the next 10 minutes.,Dare
Eat a snack without using your hands.,Dare
"If you could be any celebrity for a day, who would you choose and why?",Dare
Speak in an accent (of the group’s choosing) for the next three rounds.,Dare
What is the most daring thing you’ve ever done on a dare?,Truth
Have you ever had a paranormal experience? What happened?,Truth 
Have you ever been caught gossiping about someone?,Truth 
Have you ever had a funny or embarrassing dating app experience?,Truth 
Send the first photo in your gallery and the most recent one,Dare
Draw a sketch of the person who dared you and send it ,Dare
Have you ever stolen something ,Truth
Have you ever peed in your pants from laughing too hard?,Truth 
When is the last time you threw up?,Truth
Let the group make you a shot out of anything in the refrigerator that you must take.,Dare
See how many marshmallows you can shove into your mouth.,Dare
When is the last time you pretended to be sick when you weren't?,Truth
What's the biggest mistake you've ever made while cooking?,Truth
Let the group squeeze toothpaste into your mouth.,Dare
Did you ever try to fake your report card grades?,Truth
What joke do you think is funny that nobody ever laughs at?,Truth
What's your really weird secret collection?,Truth
What's your most embarrassing clothes malfunction story?,Truth
What is your scariest imagination when you fall to sleep?,Truth 
Shave your eyebrows.,Dare
What do you have in your room that your parents don't know about?,Truth
Have you ever eaten dog food?,Truth
Have you ever blamed something you did on another person?,Truth 
