Phrases,Meanings
Broken watch is right twice a day,When something is lucky or successful but undeserving.
Bun in the oven,Pregnant.
Butter up,"Flatter someone, usually because you want something from them."
By the skin of your teeth,Only just succeed.
Calling time,Deciding to end something.
Cash cow,Dependable source of income.
Catch someone at a bad time,When it is inconvenient.
Chance one's arm,Deciding to do something even though the chances of success are slim or unknown.
Chase your tail,Spend a lot of time and energy but achieve nothing.
Clock-in/clock-out,Record the time of arrival and the time of departure.
Cold shoulder,Pay no attention to.
Cook someone's goose,Spoil the person's chance of success.
Costs an arm and a leg,When something is very expensive.
Cover a lot of ground,Complete a lot of work or a wide range of things.
Cross that bridge when you come to it,"Deal with a problem if and when it becomes necessary, not before."
Cry over spilt milk,Complain about a loss from the past.
Cut corners,"When something is done quickly, and typically badly, to save money."
Cut the mustard,To succeed; to come up to expectations; adequate enough to compete or participate.
Day to day,Part of a usual routine.
Dead duck,Plan or event that has failed or is certain to fail and therefore not worth discussing.
Dead wood,People or things that are no longer useful or necessary.
Deliver the goods,Do what is expected or required.
Do time (serve time),Spend time in prison.
Don't count your chickens before they've hatched Don't put all your eggs in one basket,Don't make plans for something that might not happen.
Drastic times call for drastic measures,When you are extremely desperate you need to take drastic actions.
Dropout,Stop attending school before it is time.
Eager beaver,Enthusiastic and hard worker.
"Eat, sleep & breathe something",Being so enthusiastic and passionate about something that you think about it all the time.
Elbow room,Enough space to move or work in.
Elvis has left the building,The show has come to an end. It's all over.
Explore all avenues,Investigating or examining every option.
Fallen in love,Start feeling love towards someone.
Feeling blue,Feeling depressed or disconnected.
Fever pitch,When a feeling is very intense and exciting.
"First in, best dressed",The opportunity is afforded to the first to arrive or present themselves.
Fish out of water,Feeling uncomfortable in unfamiliar surroundings
For the time being,An action or state will continue into the future but is temporary.
From time to time,Occasionally or not very often.
Full of the joys of spring,Very happy and full of energy.
Getting the show on the road,Putting a plan or idea into action.
Give the green light,Provide permission to proceed.
Going places,Demonstrating talent and ability that will lead to success.
Golden handshake,Large sum of money given to someone when they retire from a company.
Grass is always greener on the other side Green thumb,The alternative solution may seem better even if that isn't always the case.
Grey area,Unclear or undefined.
Hard as nails,Without sentiment or sympathy for anyone.
Having one's heart set on something Head over heels in love,Possessing a determination to achieve something.
Heart is in the right place,Very much in love with someone.
High time,"Having good intentions, even if the results may not be impressive."
Hit the books,When something should have been done already and is overdue.
Hit the panic button,Begin studying hard.
"Hit the sack (or sheets, or hay)",Act quickly and without thinking in reaction to an unexpected event.
Honest as the day is long,Go to bed.
Hour of need,Someone that is trustworthy and honest.
In one's own time,When someone really needs something – their last chance.
In the bag,Taking as long as you want to complete something or completing something at your own pace. Something that is assured or a guaranteed success.
Eleventh hour,At the very last minute or just in time.
Every cloud has a silver lining,"Be optimistic, even difficult times will lead to better days. Good can come from a bad situation."
Eye-catching,Tending to attract attention.
Far cry from,Very different from.
Feeling under the weather,Feeling unwell.
Fill in the blanks,Supply missing words or information.
First out of the gate,Being the first one to make a start at something
Foot in the door,Small but good start with the possibility of a bright future.
From now on,From this time forward.
Full of beans,Excited or very energetic and lively.
"Getting sacked (or axed, or fired)",To lose your job.
Give the benefit of the doubt,"Believe someone's statement, without proof."
Go belly up,fail completely
Golden boy,"Young man idolised for a great skill, typically in sport."
Golden opportunity,A very good opportunity that may never present itself again.
Grease someone's palm,Give someone money in order to persuade them to do something dishonest.
Green with envy,Extremely jealous or full of envy.
Hanging on by fingernails,Continuing to do something in a very difficult situation.
Hard time,Something that is difficult or to suffer hardship.
Head in the clouds,Having unrealistic or impractical ideas.
Hear it on the grapevine,"Hear something through informal or unofficial means, like gossip."
"Here today, gone tomorrow","When desirable things, such as money or happiness, are temporary."
Hit the big time,To become successful.
Hit the nail on the head,Do or say something exactly right.
Hit the road,Begin travelling or leave.
Hold the fort,Have responsibility for something or care about someone while others are away or out.
Hot potato,Speak of a current issue which many people are talking about and which is usually disputed.
In due course,Everything will happen when it is supposed to or at the appropriate time.
In someone's black book,Be in disgrace or disfavour with someone.
In the black,In profit.
Egg head,Studious and academic person.
Brainstorm,Develop or think of new ideas
In the blink of an eye (or an instant),Something that happens very quickly.
In the interim,Between two events or something that is temporary.
In the nick of time.,Just before it is too late.
In the right place at the right time,When something happens fortuitously or when given an unexpected opportunity.
In tune with someone (on the same wavelength) Itchy feet,Have the same ideas and be in agreement with someone else.
Living beyond your means,Spending more than you can afford.
Living on the breadline,Having very little income.
Long time no see,Not seen since long ago.
Love at first sight,Start feeling love towards someone the first time you see them.
Lump in your throat,"Tight feeling in the through because of an emotion like sadness, pride or gratitude."
Make my day,Something that makes me very happy or satisfies me.
Make the grade,Be satisfactory or at an accepted level.
Makes your flesh crawl,Something that makes you feel disgusted or nervous.
Making good time,Completing something faster than expected.
Match made in heaven,Relationship that is likely to be happy and successful.
Mile a minute,Happens very quickly.
Monkey business,Mischievous or deceitful behaviour.
Murphy's law,Anything that can go wrong will go wrong.
Jump on the bandwagon ,Join a popular trend or activity.
Keeping up appearances ,Maintaining an outward show of prosperity or well-being while hiding your difficulties.
Kept in the dark,Not knowing the secrets or truth.
Kill two birds with one stone,Accomplish two different things at the same time.
 Last straw,The final problem in a series of problems that leads to a bad thing happening.
Learn by rote,Learn something by memorising it without thought to what is being learnt.
Learn the ropes,Learn how to do a job or task properly.
Let me see the colour of your money ,Prove that you can afford something.
Let slip through fingers,Failing to obtain or retain a good opportunity.
Lick one's wounds,Trying to regain confidence after a defeat.
Lights are on but nobody is home ,Someone is stupid or lacking intelligence.
Like there's no tomorrow,"Do something fast or energetic, as if it were the last opportunity to do so."
 Well-oiled machine,Unit of people or a group of things working well together.
Walk out on someone,Leave a partner and end the relationship.
White as a sheet (or ghost)  ,In a state of great fear or anxiety.
With bells on,When you are delighted and eager to go somewhere.
Works like a charm,Works very well or as expected.
"Year in, year out",Happens every year for many years in a row.
You can't teach an old dog new tricks,People used to doing things a certain way are often unable to change their ways.
Whitewash,Cover up or gloss over faults.
Wasting time,Doing something with no purpose.
White elephant,Expensive item that's costly to maintain and not particularly useful.
Whale of a time,Enjoying something thoroughly.
beat around the bush,avoid giving a clear/definite answer
be behind the times,"be old-fashioned, outdated"
 be beside oneself,"be very upset, nervous, worried"
be better off,be in a better situation (financially)
be broke,"have no money at all; be penniless, bankrupt"
 be hard on something or someone, treat roughly
be high on one's list,be one of the most important things
 be in charge of something, be responsible for
 be in good health,be healthy
 be in poor health,be not healthy
ballpark figure,approximate estimate (in figures)
at once,at first glance
 at odds with,in disagreement with
 at random,at this time
 as far as I am concerned,in my opinion 
as for me/ as to me,in my opinion
 as well,"also, too"
apple of discord,subject of envy or quarrel
In the heat of the moment,Overwhelmed by what is happening in the moment.
Never in a million years,Will never happen.
No time like the present,The belief it is better to do something right away instead of waiting
Not letting grass grow under your feet ,Not delaying in getting something done
Not playing with a full deck,lacking intelligence
Smaash hit,A big success
Sink or swim,Fail or succeed
Snowed under,Having too much to do
Sour grapes,pretending to dislike something you cannot have
Tricks on the trade,clever or expert way of doing something
Sweet tooth,liking for sweet-tasting foods
The time is ripe,The right or most opportune moment to do something
Top dog,Most important person
Tough cookie,Very determined person
Stiff upper lip,Not showing emotions
storm in  a teacup,Exaggerate a problem
Speaks volumes,Express a reaction without words
Straight from the horse's mouth,From the authoritative source
Time is money,Time is a valuable commodity. payment is needed before doing something 
Tickled pink,"very pleased, thrilled or delighted about something"
Tie the knot,get married
Too many chiefs and not enough indians,Too many people telling others what to do
Time after time,Do something repeatedly
Thinking on your feet,Adjusting quickly to change and making fast decisions
punch over one's weight,performing beyond ypur ability
Proud as a peacock,very proud
Pull wool over other people's eyes ,Deceive someone into thinking well of them
Put it in black and white,write down for confirmation or evidence
Rags to riches,becoming very rich whilst starting very poor
Raise the white flag,Accept defeat or surrender to the other party
Rat race,Exhausting and repetitive routine
Red herring,unimportant matter that misleads and draws attention away
Red in the face,Embarrased
Red-eye,Journey that leaves late in the night and arrives early in the morning
Roll out the red carpet,Greet a person with great respect  and give them a big and warm welcome
Save time,Do something quickly or in a way that allow time for others
School of thought,Particular philosophy or way of thinking about something
Seeing eye to eye,Two or more people agree on something
